year,ccode,time,timesq,changehr,monitoring,monitoring_lagged,meanmonitoring,forinv,conflict,polity,monitoringAI,meanAI,poplog,gdplog,shaming,AI_lagged,v2x_clphy,changeclphy,rs_shaming
1960,2,,,,,,,,,,,,,8.0087395,,,.8080000000000001,0,
1961,2,,,,,,,,,,,,,8.0283127,,,.8080000000000001,0,
1962,2,,,,,,,,,,,,,8.0845137,,,.8080000000000001,0,
1963,2,,,,,,,,,,,,,8.1240072,,,.8080000000000001,0,
1964,2,,,,,,,,,,,,,8.1814241,,,.8080000000000001,0,
1965,2,,,,,,,,,,,,,8.2499743,,,.83,.022,
1966,2,,,,,,,,,,,,,8.3299761,,,.842,.012,
1967,2,,,,,,,,,,,,,8.3748064,,,.842,0,
1968,2,,,,,,,,,,,,,8.4544497,,,.877,.035,
1969,2,,,,,,,,,,,,,8.5236015,,,.894,.017000001,
1970,2,,,,,,,,,,,,,8.5653896,,,.901,.0070000002,
1971,2,,,,,,,,,,,,,8.6346998,,,.901,0,
1972,2,,,,,,,,,,,,,8.7176695,,,.912,.011,
1973,2,,,,,,,,,,,,,8.8160133,,,.912,0,
1974,2,,,,,,,,,,,,,8.8877134,,,.912,0,
1975,2,,,,,,,,,,,,,8.964448,,,.912,0,
1976,2,,,,,,,,,,,,,9.0608425,,,.912,0,
1977,2,0,0,,,,,.19190381,0,1,,,19.210224,9.1560221,,,.912,0,
1978,2,.025,.00062499999,.25541425,,,,.20043731,0,1,,,19.220819,9.2674093,,,.912,0,
1979,2,.050000001,.0024999999,.20221293,,,,.20868154,0,1,,,19.231855,9.3669643,,,.912,0,
1980,2,.075000003,.0056250002,.17278671,,,,.23245385,0,1,,,19.241451,9.441267,,,.912,0,
1981,2,.1,.010000001,.10428131,,,,.25639683,0,1,,,19.251265,9.5463247,,,.9379999999999999,.026000001,
1982,2,.125,.015625,.024117829,,,,.2234633,0,1,,,19.260799,9.5776863,,,.9379999999999999,0,
1983,2,.15000001,.022500001,-.03857255,,,,.2168332,0,1,,,19.269943,9.6525507,,,.9379999999999999,0,
1984,2,.175,.030624999,-.12070894,,,,.25747293,0,1,,,19.278601,9.7488365,,,.9379999999999999,0,
1985,2,.2,.040000003,-.22567451,,,,.24278662,0,1,,,19.287462,9.8129845,,,.9379999999999999,0,
